dg_raceid,date_time,dg_horseid,horse,odds
1308988,2019-05-18 11:30:00,16030178,,28
1308988,2019-05-18 11:30:00,28613831,,48
1277086,2015-10-11 13:15:00,19834383,Sun at work,11.8
