race_category,race_class_new,race_class_old
Jagdrennen - Listenrennen,,
Jagdrennen - Seejagdrennen,,
Jagdrennen - Seejagdrennen - Amateurrennen - Fegentri-Rennen,,
Jagdrennen - Seejagdrennen - Ausgleich U,,
Jagdrennen - Seejagdrennen - Fegentri-Rennen - Amateurrennen,,
Jagdrennen - Verkaufsrennen,,
Kl.B-Rennen,,
Kl.B-Rennen - Amateurrennen,,
Kl.B-Rennen - Amateurrennen (F),(F),
Kl.B-Rennen - Amateurrennen für Reiterinnen,,
Kl.B-Rennen - Amazonenreiten,,
Kl.B-Rennen - Amazonenreiten (F),(F),
Kl.B-Rennen - Halbblutrennen der Kategorie B,,
Kl.B-Rennen - Halbblutrennen der Kategorie B (F),(F),
Kl.B-Rennen - Stutenrennen - Amateurrennen,,
Kl.B-Rennen (F),(F),
Listenrennen,,Listenrennen
Listenrennen - Ausgleich (A),,Listenrennen
Listenrennen - Ausgleich I (A),Listenrennen - Ausgleich I (A),Listenrennen
Listenrennen - Stutenrennen,,Listenrennen
Listenrennen - Stutenrennen (A),Listenrennen (A),Listenrennen
Listenrennen (A),Listenrennen (A),Listenrennen
Nachwuchsreiten,,
Nachwuchsreiten - Amateurrennen,,
Nachwuchsreiten (E),(E),
Nachwuchsreiten (F),(F),
Nationales Listenrennen,,Listenrennen
Nationales Listenrennen - Stutenrennen,,Listenrennen
Rennquintett-Ausgleich,,
Rennquintett-Ausgleich - Amateurrennen,,
Rennquintett-Ausgleich - Amateurrennen - Fegentri-Rennen,,
Rennquintett-Ausgleich - Stutenrennen,,
Rennquintett-Rennen,,
Stutenrennen,,
Stutenrennen - Ausgleich III (D),Ausgleich III (D),Ausgleich III
Stutenrennen - Ausgleich IV (E),Ausgleich IV (E),Ausgleich IV
Stutenrennen - Ausgleich IV (F),Ausgleich IV (F),Ausgleich IV
Stutenrennen (B),(B),
Stutenrennen (C),(C),
Stutenrennen (D),(D),
Stutenrennen (E),(E),
Verkaufsrennen,,
Verkaufsrennen - Amateurrennen,,
Verkaufsrennen - Amazonenreiten,,
Verkaufsrennen - Ausgleich IV (E),Ausgleich IV (E),Ausgleich IV
Verkaufsrennen - Ausgleich IV (F),Ausgleich IV (F),Ausgleich IV
Verkaufsrennen (D),(D),
Verkaufsrennen (E),(E),
Verkaufsrennen (F),(F),
